timestamp,platform,label1,label2,label3,diff,content
2024/10/4 4:26,dy,0,0,0,0,乍一看全是女性！[看][看][看]
2024/10/4 4:26,dy,1,0,0,-1,这样吵下去，不会又怪到我们景德镇头上吧。
2024/10/4 4:46,dy,1,0,0,-1,大家出来开心快乐，消消气，高高兴兴过国庆节，别伤和气，人多，理解一下，多多包容一下。没必要吵架，温柔吵吵几下就好了，没必要吵个不停，冤冤吵架何时了。
2024/10/4 4:55,dy,1,1,1,0,这不会又说景德镇人没素质吧[流泪]
2024/10/4 4:56,dy,0,0,0,0,本地人表示都找不到这个地方你们真厉害！只晓得这个瓶子在三宝[捂脸]
2024/10/4 4:57,dy,0,0,0,0,因为什么吵架[流泪]
2024/10/4 4:57,dy,0,0,0,0,因为什么吵架[流泪]
2024/10/4 5:03,dy,1,0,0,-1,@??. @鱼泡泡 @麦麦薯条巨好吃?? @Miss you @????? @quking 不知道有什么好玩的[尬笑][尬笑]这瓶子都拍的烂大街了[尬笑][捂脸]
2024/10/4 5:15,dy,0,0,0,0,8月底去的
2024/10/4 5:16,dy,1,1,1,0,@蓝莓酱.?? 不敢去了我怕我的脾气男和别人打起来
2024/10/4 5:16,dy,1,1,1,0,@蓝莓酱.?? 不敢去了我怕我的脾气男和别人打起来
2024/10/4 5:16,dy,0,0,0,0,@4.10
2024/10/4 5:18,dy,1,0,0,-1,排队的人都等了三四小时 甚至四五个小时 总有人走来走去挡住背景板 慢悠悠的 拍照人就会让他们让不让 可能比较大声 就引起的矛盾 [泪奔]
2024/10/4 5:21,dy,0,0,0,0,@LN不意 @冰棒棒棒冰 @痞老板～ @320-j @啊啊啊！！
2024/10/4 5:23,dy,1,0,0,-1,你们在哪笑？[泣不成声]
2024/10/4 5:24,dy,0,0,0,0,笑死我了哈哈哈哈
2024/10/4 5:25,dy,0,1,0,-1,天生爱人
2024/10/4 5:31,dy,0,0,0,0,@小莹.
2024/10/4 5:32,dy,1,0,0,-1,现在的旅游景点就是拍照的，全是人排队拍照，幸亏昨天我没拍[抠鼻][抠鼻][抠鼻]
2024/10/4 5:33,dy,0,0,0,0,姐妹们 我15号来景德镇 那时候人多不 [流泪][流泪][流泪]
2024/10/4 5:33,dy,1,0,0,-1,这个瓶子是别人烧坏了的[捂脸]倒是成了外地人的打卡地点[捂脸]
2024/10/4 5:34,dy,0,0,0,0,@M
2024/10/4 5:35,dy,1,0,0,-1,还是我鸡贼，假期结束，[舔屏]再去
2024/10/4 5:39,dy,0,0,0,0,难评，果然人多是非就多
2024/10/4 5:40,dy,0,0,0,0,姐妹们，别吵了
2024/10/4 5:41,dy,0,0,0,0,所以说在家里躺着最舒服[逞强落泪]
2024/10/4 5:41,dy,0,0,0,0,所以说在家里躺着最舒服[逞强落泪]
