2024/10/5 19:57,wb,1,被伺候惯了
2024/10/5 15:08,wb,0,你不敢它就敢，看谁敢
2024/10/19 15:38,dy,0,"何炅：黄老师，做什么呢，这么香
黄磊：我拉屎呢
何炅：黄老师还拉屎呢
黄磊：我做饭呢"
2024/10/12 23:19,wb,1,可惜当时没杀光
2024/10/6 16:51,wb,1,吃相丑陋
2024/10/3 5:49,dy,1,哪有只涨不跌的股市
2024/9/12 8:59,dy,1,这已经有一种泄愤的感觉了
2024/9/28 12:42,dy,0,听说小泡菜也在排，是真的吗？
2024/9/24 8:30,dy,1,完了wjk参演了
2024/10/3 12:38,xhs,0,不是塌了吗[doge]
2024/10/11 8:09,wb,1,装13的最好境界
2024/8/19 13:27,dy,1,老头他比青岛啤酒，尿尿还恶心
2024/10/1 4:15,dy,1,出事了就说家长为什么要给孩子送去这些培训学校？在学校出事的还少吗那还不能送孩子上学了？上次爸爸害孩子又怪妈妈为什么不带在身边的，妈妈害孩子又怪爸爸为什么不带在身边？[抠鼻]
2024/10/1 11:43,wb,0,自行车本来就不应该上楼。
2024/9/24 15:53,dy,0,河北，东北都是远洋捕捞的带头省份[捂脸][捂脸][捂脸][捂脸]
2024/9/11 6:49,dy,1,这姐真不怕大姐华真
2024/9/30 8:47,wb,1,半个干爹……
2024/10/11 6:40,dy,1,锤得死死的[泪奔][泪奔][泪奔]
2024/9/30 23:15,dy,1,说假话肝颤吗？
2024/9/27 14:27,wb,1,这女的好蠢啊，就不能当做别人每月花五千块买你老公那点精子，非要鱼死网破？
2024/10/1 0:25,wb,1,他們開車像去投胎一樣，而且還要拍著給平台粉絲。願安息吧
2024/10/8 1:16,dy,0,plus
2024/9/26 17:49,dy,0,准备去凉山州去玩 回来想走巧家过 我要考虑考虑了
2024/7/23 17:07,dy,0,我想去！在哪[流泪]
2024/9/17 17:46,wb,0,确实
2024/10/5 17:28,wb,0,大家都多点笑！
2024/9/10 15:49,dy,1,某人粉丝想洗也得先提高点阅读理解能力啊[捂脸]这不是让人笑话
2024/10/4 11:43,dy,1,堵车就是这类货起来的，不知道这种货上高速干啥
2024/10/5 13:46,wb,0,把品牌告诉我们，让我们好好避避雷
2024/10/3 16:03,dy,0,总算有个靠谱的说实话，那些把别人当傻子的其实自己才是傻子[尬笑][尬笑]
2024/10/3 5:57,xhs,0,我以前说的不吉利的话从2024年开始全部通通作废。我和家人朋友从这一刻开始会一直平平安安健健康康。
2024/8/18 19:58,dy,1,白瞎了这年龄
