timestamp,platform,label1,label2,label3,diff,content
2024/9/30 13:31,dy,0,0,0.0,0,这。。
2024/9/30 13:31,dy,0,0,0.0,0,真是开了眼了[尬笑]
2024/9/30 13:49,dy,0,0,0.0,0,新人养号到处评论[泪奔][玫瑰]
2024/9/30 13:55,dy,0,0,0.0,0,[尬笑]
2024/9/30 13:56,dy,1,0,0.0,1,世上无奇不有，。。
2024/9/30 14:02,dy,0,1,0.0,-1,小刀拉屁股
2024/9/30 14:09,dy,0,0,0.0,0,逆天[捂脸]
2024/9/30 14:09,dy,0,0,0.0,0,自己给自己造谣，还是强奸罪。？
2024/9/30 14:20,dy,0,0,0.0,0,威海那个 莫名其妙 [捂脸][捂脸]
2024/9/30 14:22,dy,0,0,0.0,0,[赞][赞][赞]
2024/9/30 14:23,dy,1,0,0.0,1,现在为了流量真是啥都造谣啊。
2024/9/30 14:42,dy,0,0,0.0,0,[疑问]开了眼了
2024/9/30 14:53,dy,0,0,0.0,0,涨新见识了[赞]
2024/9/30 14:55,dy,0,0,0.0,0,天才没得说
2024/9/30 14:56,dy,0,0,0.0,0,还有给自己造谣的[抠鼻]
2024/9/30 14:59,dy,0,0,0.0,0,吃多了
2024/9/30 15:01,dy,0,0,0.0,0,[发怒][发怒][发怒]
2024/9/30 15:05,dy,0,0,0.0,0,[吐]
2024/9/30 15:19,dy,0,0,0.0,0,人才啊[赞]
2024/9/30 15:24,dy,1,0,0.0,1,这也行[捂脸][捂脸]
2024/9/30 15:26,dy,0,0,0.0,0,图什么[不是吧]
2024/9/30 15:46,dy,0,0,0.0,0,[爱心][爱心][爱心][爱心][爱心]
2024/9/30 15:52,dy,0,1,0.0,-1,想知道判多久[捂脸]
2024/9/30 16:09,dy,0,1,0.0,-1,"小刀拉屁股,开了眼了[捂脸]"
2024/9/30 16:24,dy,1,0,0.0,1,这些谣言离谱大了
2024/9/30 17:05,dy,1,0,0.0,1,这操作也太刑了
2024/9/30 17:18,dy,0,1,0.0,-1,呵呵了[抠鼻]
2024/9/30 17:28,dy,0,0,0.0,0,就按真的执行吧！
2024/9/30 17:29,dy,1,0,0.0,1,网络一堆造H谣的 真的是可怕
2024/9/30 17:39,dy,0,0,0.0,0,卧槽……现在得抖音，真真假假分不清楚了[捂脸]
2024/9/30 17:40,dy,0,0,0.0,0,还有这种人[捂脸]
2024/9/30 17:44,dy,0,0,0.0,0,什么都敢说呀
2024/9/30 17:54,dy,1,0,0.0,1,好小众的新闻。。。
2024/9/30 18:03,dy,0,1,0.0,-1,真是小刀拉屁股
2024/9/30 18:16,dy,1,1,1.0,0,这不吃多了撑的嘛
2024/9/30 18:26,dy,0,0,0.0,0,看到图三就笑崩了
2024/9/30 18:30,dy,0,0,0.0,0,它是怎么做的出来的[微笑]
2024/9/30 18:36,dy,0,0,0.0,0,好离谱
2024/9/30 18:43,dy,0,0,0.0,0,自己给自己强行留案底[我想静静]
2024/9/30 18:49,dy,0,0,0.0,0,请按照他造谣的判[看]
2024/9/30 18:52,dy,0,0,0.0,0,[捂脸][捂脸][捂脸]
